기간,HS코드,품목명,수출 중량,수출 금액,수입 중량,수입 금액,무역수지
2015,720839,두께가 3밀리미터 미만인 것,2648310,1054896,2101429.5,859127,195769
2015,720852,두께가 4.75밀리미터 이상 10밀리미터 이하인 것,327374.9,169551,49320.8,32745,136806
2015,720917,두께가 0.5밀리미터 이상 1밀리미터 이하인 것,2404493.1,1248055,152579.4,86221,1161834
2015,721049,기타,2888582.4,2135107,826184.6,486157,1648950
2015,721061,알루미늄-아연 합금을 도금하거나 도포한 것,487414.7,342102,8252.9,4995,337107
2015,721070,페인팅한 것ㆍ바니시한 것ㆍ플라스틱을 도포한 것,1074600.3,1170568,426933.3,238970,931598
2015,721119,기타,16351.6,10153,2244.5,1657,8496
2015,721391,횡단면이 원형인 것으로 지름이 14밀리미터 미만인 것,732631,361699,547438.1,269882,91817
2015,721420,"압연공정에서 발생하는 톱니 모양의 마디ㆍ리브(rib)ㆍ홈이나 그 밖의 모양으로 된 것, 압연 후 꼬임가공된 것",113668.3,68506,1102612,398128,-329622
2015,721631,유(U)형강,65644,37865,37772.2,16888,20977
2015,721632,아이(I)형강,5599.6,3898,18299.9,11235,-7337
2015,721633,에이치(H)형강,1130875.5,637296,590577.4,256841,380455
2015,721710,도금하거나 도포하지 않은 것(연마한 것인지에 상관없다),125792.8,191237,20680.6,21237,170000
2015,721933,두께가 1밀리미터를 초과 3밀리미터 미만인 것,207937.4,362163,143155.7,256450,105714
2015,722020,냉간압연(냉간환원)보다 더 가공하지 않은 것,53370.1,171001,11873.3,57686,113315
2015,722511,방향성(方向性)인 것,138090.6,335529,27578.7,48831,286698
2015,722519,기타,363986.9,220938,54035.7,37220,183717
2015,722540,"기타[코일 모양은 제외하고, 열간(熱間)압연보다 더 가공하지 않은 것으로 한정한다]",15247.8,10877,439335.6,265457,-254581
2015,722550,기타[냉간압연(냉간환원)보다 더 가공하지 않은 것으로 한정한다],615868.3,397811,18283.8,31868,365943
2015,730441,냉간인발(冷間引拔)하거나 냉간압연(냉간환원)한 것,7391.2,58971,14460.9,110544,-51574
2016,720839,두께가 3밀리미터 미만인 것,2402207.1,917211,2296079.8,873887,43324
2016,720852,두께가 4.75밀리미터 이상 10밀리미터 이하인 것,251017.4,112894,54918.8,30783,82112
2016,720917,두께가 0.5밀리미터 이상 1밀리미터 이하인 것,2230781.8,1099818,143863.9,72055,1027762
2016,721049,기타,3122277.2,2208073,1151905.7,615334,1592738
2016,721061,알루미늄-아연 합금을 도금하거나 도포한 것,522246.6,336365,41820,25737,310628
2016,721070,페인팅한 것ㆍ바니시한 것ㆍ플라스틱을 도포한 것,1154463,1193000,430314,222404,970596
2016,721119,기타,28423.6,15228,3181.2,1955,13273
2016,721391,횡단면이 원형인 것으로 지름이 14밀리미터 미만인 것,685887.4,316605,560563.7,247931,68673
2016,721420,"압연공정에서 발생하는 톱니 모양의 마디ㆍ리브(rib)ㆍ홈이나 그 밖의 모양으로 된 것, 압연 후 꼬임가공된 것",104120.7,50195,1301694.8,441672,-391477
2016,721631,유(U)형강,94151.9,44103,34898.2,13580,30524
2016,721632,아이(I)형강,7700.3,3595,16890.3,9067,-5471
2016,721633,에이치(H)형강,1089190.2,491310,505475.5,219076,272234
2016,721710,도금하거나 도포하지 않은 것(연마한 것인지에 상관없다),98708.8,129260,22947.7,20385,108875
2016,721933,두께가 1밀리미터를 초과 3밀리미터 미만인 것,211506.3,325836,161721.6,248379,77458
2016,722020,냉간압연(냉간환원)보다 더 가공하지 않은 것,57534.2,164840,11126.2,51642,113198
2016,722511,방향성(方向性)인 것,128440.6,271190,26556.3,45825,225365
2016,722519,기타,456385.3,240312,61337.8,34366,205946
2016,722540,"기타[코일 모양은 제외하고, 열간(熱間)압연보다 더 가공하지 않은 것으로 한정한다]",5912.1,3894,412621.8,203159,-199265
2016,722550,기타[냉간압연(냉간환원)보다 더 가공하지 않은 것으로 한정한다],687032.8,434985,21176.8,41082,393903
2016,730441,냉간인발(冷間引拔)하거나 냉간압연(냉간환원)한 것,7018.5,56953,10796.1,75439,-18486
2017,720839,두께가 3밀리미터 미만인 것,1917414.3,1001191,2164580.4,1160709,-159518
2017,720852,두께가 4.75밀리미터 이상 10밀리미터 이하인 것,270624.9,158248,26221,18313,139935
2017,720917,두께가 0.5밀리미터 이상 1밀리미터 이하인 것,2179349.2,1344749,134066,83999,1260750
2017,721049,기타,3329797.8,2617162,1186893.2,781713,1835449
2017,721061,알루미늄-아연 합금을 도금하거나 도포한 것,489289.5,388987,33574,24564,364423
2017,721070,페인팅한 것ㆍ바니시한 것ㆍ플라스틱을 도포한 것,1212505,1410838,369765.4,269308,1141530
2017,721119,기타,3243.2,2934,2535.7,2019,914
2017,721391,횡단면이 원형인 것으로 지름이 14밀리미터 미만인 것,544053,328393,513935.5,288036,40357
2017,721420,"압연공정에서 발생하는 톱니 모양의 마디ㆍ리브(rib)ㆍ홈이나 그 밖의 모양으로 된 것, 압연 후 꼬임가공된 것",40851,22312,1054965.2,518038,-495727
2017,721631,유(U)형강,93538.8,51252,55416.8,30292,20960
2017,721632,아이(I)형강,20133.2,10463,14621.8,9356,1107
2017,721633,에이치(H)형강,1044873.2,543860,437816.3,243165,300695
2017,721710,도금하거나 도포하지 않은 것(연마한 것인지에 상관없다),102861.6,142331,22423.2,22026,120304
2017,721933,두께가 1밀리미터를 초과 3밀리미터 미만인 것,212531.5,376577,178182.2,327251,49326
2017,722020,냉간압연(냉간환원)보다 더 가공하지 않은 것,101758.6,415981,10979.2,49623,366358
2017,722511,방향성(方向性)인 것,158130.6,290252,24188.7,41757,248495
2017,722519,기타,424256.1,293511,54528.3,41897,251614
2017,722540,"기타[코일 모양은 제외하고, 열간(熱間)압연보다 더 가공하지 않은 것으로 한정한다]",48990.4,35745,270354.7,196124,-160379
2017,722550,기타[냉간압연(냉간환원)보다 더 가공하지 않은 것으로 한정한다],656110.6,468208,31093.6,62175,406033
2017,730441,냉간인발(冷間引拔)하거나 냉간압연(냉간환원)한 것,9529.5,72224,13073.7,102137,-29913
2018,720839,두께가 3밀리미터 미만인 것,1471635.8,910643,1611245.6,976675,-66031
2018,720852,두께가 4.75밀리미터 이상 10밀리미터 이하인 것,223913.5,169934,41183.9,28724,141211
2018,720917,두께가 0.5밀리미터 이상 1밀리미터 이하인 것,2150856.4,1404834,72319.2,51383,1353451
2018,721049,기타,3447950.9,2856330,866070.7,627574,2228756
2018,721061,알루미늄-아연 합금을 도금하거나 도포한 것,577065.2,509249,31673.3,24128,485121
2018,721070,페인팅한 것ㆍ바니시한 것ㆍ플라스틱을 도포한 것,1166766.9,1480181,396872.5,305725,1174457
2018,721119,기타,9278.5,8006,3804.1,4793,3213
2018,721391,횡단면이 원형인 것으로 지름이 14밀리미터 미만인 것,610093,414058,408661.7,272719,141339
2018,721420,"압연공정에서 발생하는 톱니 모양의 마디ㆍ리브(rib)ㆍ홈이나 그 밖의 모양으로 된 것, 압연 후 꼬임가공된 것",74616.4,44910,531631.9,307598,-262688
2018,721631,유(U)형강,74198.4,48614,65123.1,39894,8720
2018,721632,아이(I)형강,33007.4,20801,14736,10666,10135
2018,721633,에이치(H)형강,1069937.7,688069,350713.9,230210,457859
2018,721710,도금하거나 도포하지 않은 것(연마한 것인지에 상관없다),118307.5,169936,15010.1,19706,150230
2018,721933,두께가 1밀리미터를 초과 3밀리미터 미만인 것,221180.1,419391,187096.1,364580,54811
2018,722020,냉간압연(냉간환원)보다 더 가공하지 않은 것,113329.8,392806,9877.8,47021,345785
2018,722511,방향성(方向性)인 것,137889.5,262379,20567.5,37571,224808
2018,722519,기타,486172.4,366685,61870,50819,315866
2018,722540,"기타[코일 모양은 제외하고, 열간(熱間)압연보다 더 가공하지 않은 것으로 한정한다]",31658.8,37436,375978.4,291342,-253906
2018,722550,기타[냉간압연(냉간환원)보다 더 가공하지 않은 것으로 한정한다],677342.5,512998,16524.2,66519,446478
2018,730441,냉간인발(冷間引拔)하거나 냉간압연(냉간환원)한 것,9067.4,80223,10597.8,85018,-4795
2019,720839,두께가 3밀리미터 미만인 것,1936476.7,993102,1899525.4,1001801,-8700
2019,720852,두께가 4.75밀리미터 이상 10밀리미터 이하인 것,279416.7,193483,78135.8,48119,145365
2019,720917,두께가 0.5밀리미터 이상 1밀리미터 이하인 것,2162954.4,1314821,140160,85916,1228905
2019,721049,기타,3393852.6,2625511,1019473.1,650894,1974617
2019,721061,알루미늄-아연 합금을 도금하거나 도포한 것,546075.9,425809,32547.1,21895,403914
2019,721070,페인팅한 것ㆍ바니시한 것ㆍ플라스틱을 도포한 것,1209099.9,1500174,481609.5,321942,1178232
2019,721119,기타,7887,6552,3907.6,3007,3545
2019,721391,횡단면이 원형인 것으로 지름이 14밀리미터 미만인 것,653132.8,424125,395237.6,242097,182028
2019,721420,"압연공정에서 발생하는 톱니 모양의 마디ㆍ리브(rib)ㆍ홈이나 그 밖의 모양으로 된 것, 압연 후 꼬임가공된 것",61625.9,34348,725550.1,376909,-342560
2019,721631,유(U)형강,59267.3,37067,67640.1,38596,-1529
2019,721632,아이(I)형강,24762,14023,11571.9,8139,5884
2019,721633,에이치(H)형강,1042961.5,616631,426535.9,271216,345414
2019,721710,도금하거나 도포하지 않은 것(연마한 것인지에 상관없다),112693.9,156581,15345.4,19397,137184
2019,721933,두께가 1밀리미터를 초과 3밀리미터 미만인 것,208693.8,367533,215966.6,389896,-22362
2019,722020,냉간압연(냉간환원)보다 더 가공하지 않은 것,92610.2,241844,7685.8,36908,204936
2019,722511,방향성(方向性)인 것,154287.5,270400,13690.2,21462,248938
2019,722519,기타,454402.3,313068,51600.7,37240,275829
2019,722540,"기타[코일 모양은 제외하고, 열간(熱間)압연보다 더 가공하지 않은 것으로 한정한다]",30566.6,61821,257442,205209,-143388
2019,722550,기타[냉간압연(냉간환원)보다 더 가공하지 않은 것으로 한정한다],598425.8,452613,17612.5,72066,380547
2019,730441,냉간인발(冷間引拔)하거나 냉간압연(냉간환원)한 것,7640.8,77243,13799.2,90046,-12802
2020,720839,두께가 3밀리미터 미만인 것,2743650.3,1256462,1539400.4,745608,510854
2020,720852,두께가 4.75밀리미터 이상 10밀리미터 이하인 것,233040.6,133377,19612.8,11691,121686
2020,720917,두께가 0.5밀리미터 이상 1밀리미터 이하인 것,2039904.7,1135622,69648.1,42869,1092754
2020,721049,기타,2699875.7,1956881,684114.9,426577,1530304
2020,721061,알루미늄-아연 합금을 도금하거나 도포한 것,519943.8,380819,78797.5,50920,329899
2020,721070,페인팅한 것ㆍ바니시한 것ㆍ플라스틱을 도포한 것,1155978.3,1382628,570796.7,361511,1021116
2020,721119,기타,5899.5,4778,3105.3,2610,2168
2020,721391,횡단면이 원형인 것으로 지름이 14밀리미터 미만인 것,610594.3,326806,282050.5,155267,171539
2020,721420,"압연공정에서 발생하는 톱니 모양의 마디ㆍ리브(rib)ㆍ홈이나 그 밖의 모양으로 된 것, 압연 후 꼬임가공된 것",66490.3,34458,462001.5,215717,-181260
2020,721631,유(U)형강,74128,41341,66343.6,33658,7683
2020,721632,아이(I)형강,25255.4,12809,17099.8,10810,2000
2020,721633,에이치(H)형강,889052.5,457077,420790.6,224787,232290
2020,721710,도금하거나 도포하지 않은 것(연마한 것인지에 상관없다),92645.6,126673,17017.8,18350,108324
2020,721933,두께가 1밀리미터를 초과 3밀리미터 미만인 것,161439.4,292588,226500.9,394296,-101708
2020,722020,냉간압연(냉간환원)보다 더 가공하지 않은 것,75384.7,205992,6009.8,35207,170785
2020,722511,방향성(方向性)인 것,164199.8,249019,18070.4,27630,221389
2020,722519,기타,368932.3,242776,50951.3,34696,208080
2020,722540,"기타[코일 모양은 제외하고, 열간(熱間)압연보다 더 가공하지 않은 것으로 한정한다]",77149.6,51132,124351.2,132295,-81163
2020,722550,기타[냉간압연(냉간환원)보다 더 가공하지 않은 것으로 한정한다],514598.2,386160,20005.2,74413,311747
2020,730441,냉간인발(冷間引拔)하거나 냉간압연(냉간환원)한 것,5249.7,64332,10147.2,92267,-27936
2021,720839,두께가 3밀리미터 미만인 것,1455646.5,1294579,1542754.9,1329231,-34652
2021,720852,두께가 4.75밀리미터 이상 10밀리미터 이하인 것,192614.2,181601,27615.5,28074,153526
2021,720917,두께가 0.5밀리미터 이상 1밀리미터 이하인 것,2021414.5,1664348,82889.7,82245,1582103
2021,721049,기타,2799647.4,2692953,1065304.4,1021466,1671487
2021,721061,알루미늄-아연 합금을 도금하거나 도포한 것,449451,595275,119593,119414,475861
2021,721070,페인팅한 것ㆍ바니시한 것ㆍ플라스틱을 도포한 것,1346423.4,2278019,514905.3,535490,1742529
2021,721119,기타,6848.3,8716,2908.8,3210,5507
2021,721391,횡단면이 원형인 것으로 지름이 14밀리미터 미만인 것,534227.4,422125,549548.4,425696,-3571
2021,721420,"압연공정에서 발생하는 톱니 모양의 마디ㆍ리브(rib)ㆍ홈이나 그 밖의 모양으로 된 것, 압연 후 꼬임가공된 것",35589.2,28551,926043.9,716192,-687641
2021,721631,유(U)형강,70667.7,58037,64628.1,46344,11693
2021,721632,아이(I)형강,4888.2,2882,14471.8,11986,-9105
2021,721633,에이치(H)형강,743390.4,620326,415931.3,320067,300259
2021,721710,도금하거나 도포하지 않은 것(연마한 것인지에 상관없다),96393.1,154016,34204.4,32060,121956
2021,721933,두께가 1밀리미터를 초과 3밀리미터 미만인 것,174975.9,377442,169240.4,349993,27448
2021,722020,냉간압연(냉간환원)보다 더 가공하지 않은 것,79568.6,277688,6870.6,40955,236733
2021,722511,방향성(方向性)인 것,135062.2,262924,25401.3,45775,217148
2021,722519,기타,492817.6,543037,65481.1,78501,464536
2021,722540,"기타[코일 모양은 제외하고, 열간(熱間)압연보다 더 가공하지 않은 것으로 한정한다]",25629.9,37739,163040.2,202810,-165071
2021,722550,기타[냉간압연(냉간환원)보다 더 가공하지 않은 것으로 한정한다],636813.8,584755,36741.4,97642,487112
2021,730441,냉간인발(冷間引拔)하거나 냉간압연(냉간환원)한 것,8345.1,89600,8692.7,82323,7278
2022,720839,두께가 3밀리미터 미만인 것,1372056.6,1093073,1546913.5,1197809,-104736
2022,720852,두께가 4.75밀리미터 이상 10밀리미터 이하인 것,195397,209255,62964.8,57615,151641
2022,720917,두께가 0.5밀리미터 이상 1밀리미터 이하인 것,1888541.8,1659059,72575.4,65274,1593786
2022,721049,기타,2892656.2,3099614,753121.4,708035,2391579
2022,721061,알루미늄-아연 합금을 도금하거나 도포한 것,445263,551340,63288.8,61132,490208
2022,721070,페인팅한 것ㆍ바니시한 것ㆍ플라스틱을 도포한 것,1233948.2,2100283,416940.3,414347,1685935
2022,721119,기타,5745.6,8035,1540.1,1855,6180
2022,721391,횡단면이 원형인 것으로 지름이 14밀리미터 미만인 것,425568.4,379433,644059.6,523635,-144202
2022,721420,"압연공정에서 발생하는 톱니 모양의 마디ㆍ리브(rib)ㆍ홈이나 그 밖의 모양으로 된 것, 압연 후 꼬임가공된 것",32398.6,30751,624905,453483,-422732
2022,721631,유(U)형강,39102.8,39854,66978.8,51162,-11308
2022,721632,아이(I)형강,2567.4,2426,15867.6,14041,-11615
2022,721633,에이치(H)형강,691025.9,725302,442687.3,384238,341064
2022,721710,도금하거나 도포하지 않은 것(연마한 것인지에 상관없다),73887.3,140692,28685.7,27913,112778
2022,721933,두께가 1밀리미터를 초과 3밀리미터 미만인 것,114668.4,294897,138738.3,392700,-97803
2022,722020,냉간압연(냉간환원)보다 더 가공하지 않은 것,56876.7,237363,5876.8,42173,195190
2022,722511,방향성(方向性)인 것,54462.7,206265,45508.6,129270,76995
2022,722519,기타,409712.8,513297,80580.1,101596,411701
2022,722540,"기타[코일 모양은 제외하고, 열간(熱間)압연보다 더 가공하지 않은 것으로 한정한다]",32987.3,54936,114551.7,187465,-132529
2022,722550,기타[냉간압연(냉간환원)보다 더 가공하지 않은 것으로 한정한다],545647.1,537708,34311.7,104695,433014
2022,730441,냉간인발(冷間引拔)하거나 냉간압연(냉간환원)한 것,6142.7,99228,11912.1,128075,-28847
2023,720839,두께가 3밀리미터 미만인 것,1780993.3,1143740,1828386.2,1117222,26519
2023,720852,두께가 4.75밀리미터 이상 10밀리미터 이하인 것,209397.2,179858,124885.6,91400,88458
2023,720917,두께가 0.5밀리미터 이상 1밀리미터 이하인 것,1743137.1,1345179,134706.1,98626,1246553
2023,721049,기타,3153391.1,3041204,980438.1,760001,2281203
2023,721061,알루미늄-아연 합금을 도금하거나 도포한 것,419646.1,400778,163983.4,125145,275633
2023,721070,페인팅한 것ㆍ바니시한 것ㆍ플라스틱을 도포한 것,1368233.5,1825583,244519.9,201097,1624486
2023,721119,기타,4427.8,6564,1758.1,1802,4762
2023,721391,횡단면이 원형인 것으로 지름이 14밀리미터 미만인 것,538620.8,373584,595242.7,386702,-13118
2023,721420,"압연공정에서 발생하는 톱니 모양의 마디ㆍ리브(rib)ㆍ홈이나 그 밖의 모양으로 된 것, 압연 후 꼬임가공된 것",21310.6,17008,498411.5,304223,-287215
2023,721631,유(U)형강,43628,38105,85769.8,58789,-20684
2023,721632,아이(I)형강,10018.8,7036,15526.7,13271,-6235
2023,721633,에이치(H)형강,595050.1,497076,426837.8,316450,180627
2023,721710,도금하거나 도포하지 않은 것(연마한 것인지에 상관없다),73307.8,130344,38549,27154,103190
2023,721933,두께가 1밀리미터를 초과 3밀리미터 미만인 것,149944.7,308414,184812.9,437160,-128746
2023,722020,냉간압연(냉간환원)보다 더 가공하지 않은 것,49780.5,189821,7588.7,57211,132610
2023,722511,방향성(方向性)인 것,59110.7,197497,26195,72108,125389
2023,722519,기타,376175.8,390999,78476,76386,314612
2023,722540,"기타[코일 모양은 제외하고, 열간(熱間)압연보다 더 가공하지 않은 것으로 한정한다]",22558.3,51636,100744.3,166027,-114391
2023,722550,기타[냉간압연(냉간환원)보다 더 가공하지 않은 것으로 한정한다],498819.6,486025,34082.9,78295,407730
2023,730441,냉간인발(冷間引拔)하거나 냉간압연(냉간환원)한 것,5527.9,105136,13285.6,121443,-16307
2024,720839,두께가 3밀리미터 미만인 것,1631373.9,967912,1622431.7,909678,58234
2024,720852,두께가 4.75밀리미터 이상 10밀리미터 이하인 것,302535.9,218149,188388,132887,85262
2024,720917,두께가 0.5밀리미터 이상 1밀리미터 이하인 것,1763091.2,1285184,168229.6,113501,1171683
2024,721049,기타,3276103.1,2919477,1111257.2,803249,2116228
2024,721061,알루미늄-아연 합금을 도금하거나 도포한 것,379835.5,360463,295330.3,213303,147160
2024,721070,페인팅한 것ㆍ바니시한 것ㆍ플라스틱을 도포한 것,1483930.4,1970587,402177.9,289742,1680845
2024,721119,기타,5025.4,6053,1785.6,1874,4179
2024,721391,횡단면이 원형인 것으로 지름이 14밀리미터 미만인 것,433861.5,294055,489813.5,295089,-1034
2024,721420,"압연공정에서 발생하는 톱니 모양의 마디ㆍ리브(rib)ㆍ홈이나 그 밖의 모양으로 된 것, 압연 후 꼬임가공된 것",39269.3,26372,241501.3,132136,-105764
2024,721631,유(U)형강,48220.6,37835,66754.2,39227,-1392
2024,721632,아이(I)형강,5695.1,3806,17377,13101,-9296
2024,721633,에이치(H)형강,794561.3,575773,365290.6,253104,322669
2024,721710,도금하거나 도포하지 않은 것(연마한 것인지에 상관없다),79026.8,137632,46763.5,31251,106381
2024,721933,두께가 1밀리미터를 초과 3밀리미터 미만인 것,172953.8,341528,191142.5,399233,-57705
2024,722020,냉간압연(냉간환원)보다 더 가공하지 않은 것,53611.8,192689,9739,65877,126812
2024,722511,방향성(方向性)인 것,87189.4,196241,35817.6,65912,130329
2024,722519,기타,513328.1,501676,93393,89428,412248
2024,722540,"기타[코일 모양은 제외하고, 열간(熱間)압연보다 더 가공하지 않은 것으로 한정한다]",25093.5,69974,100219.6,168085,-98111
2024,722550,기타[냉간압연(냉간환원)보다 더 가공하지 않은 것으로 한정한다],610403.4,532221,36509.3,70070,462151
2024,730441,냉간인발(冷間引拔)하거나 냉간압연(냉간환원)한 것,4201.1,66348,11955.3,95253,-28904
